反馈,$ A_V $,反馈系数,$ R_i $(kOhm),$ R_o $(kOhm),$ f_L $(Hz),$ f_H $(kHz),不失真(mV)
无,3664.781,0,8.342,16.399,97.4882,166.7398,0.4
有,21.216,0.046866667,36.206,14.825,23.3005,27153.4,25
